Asia,United Arab Emirates,Dubai,Dubai
Asia,United Arab Emirates,Sharjah,Sharjah
Asia,Afghanistan,Farah,Ahmadabad
Asia,Afghanistan,Farah,Ghaziabad
Asia,Afghanistan,Farah,Rabat
Asia,Afghanistan,Helmand,Rabat
Asia,Afghanistan,Ghowr,Rabat
Asia,Afghanistan,Laghman,Ghaziabad
Asia,Afghanistan,Ghazni,Rabat
Asia,Afghanistan,Vardak,Baghdad
Asia,Afghanistan,Zabol,Multan
Asia,Afghanistan,Badghis,Rabat
Asia,Afghanistan,Badakhshan,Mashhad
Asia,Afghanistan,Badakhshan,Rabat
Asia,Afghanistan,Faryab,Rabat
Asia,Afghanistan,Herat,Ahmadabad
Asia,Afghanistan,Herat,Rabat
Asia,Afghanistan,Daykondi,Rabat
Asia,Afghanistan,Balkh,Ahmadabad
Asia,Afghanistan,Kabol,Kabul
Asia,Afghanistan,Nimruz,Rabat
Asia,Afghanistan,Khowst,Mandalay
Asia,Afghanistan,Nangarhar,Ghaziabad
Asia,Afghanistan,Paktia,Kalyan
Asia,Afghanistan,Paktia,Milan
Asia,Afghanistan,Paktia,Rabat
Asia,Afghanistan,Baghlan,Rabat
Asia,Afghanistan,Konar,Ghaziabad
Asia,Afghanistan,Nurestan,Peshawar
North America,Antigua and Barbuda,Saint Paul,Lyon
Europe,Albania,Vlore,Leshan
Europe,Albania,Shkoder,Milan
Europe,Armenia,Ararat,Shiraz
Asia,Armenia,Ararat,Shiraz
Europe,Armenia,Yerevan,Yerevan
Asia,Armenia,Yerevan,Yerevan
Africa,Angola,Benguela,Huambo
Africa,Angola,Benguela,Santos
Africa,Angola,Uige,Luanda
Africa,Angola,Uige,Quito
Africa,Angola,Uige,Santos
Africa,Angola,Bengo,Porto
Africa,Angola,Cuanza Norte,Luanda
Africa,Angola,Cuanza Sul,Huambo
Africa,Angola,Cuanza Sul,Santos
Africa,Angola,Huambo,Huambo
Africa,Angola,Huila,Huambo
Africa,Angola,Huila,Maputo
Africa,Angola,Cunene,Lagos
Africa,Angola,Namibe,Fortaleza
Africa,Angola,Namibe,Tampa
South America,Argentina,Buenos Aires,Lima
South America,Argentina,Cordoba,Rosario
South America,Argentina,Cordoba,Washington
South America,Argentina,Jujuy,Rosario
South America,Argentina,Santa Fe,Casablanca
